Operation,Target_RPS,Actual_RPS,Avg_ms,p50_ms,p95_ms,p99_ms,Success_Rate
hash,100,100,1.961,0.923,5.873,6.443,100.00
hash,500,499,1.002,0.543,3.004,3.723,100.00
hash,1000,1000,0.701,0.423,1.797,2.099,100.00
hash,2000,1993,0.550,0.322,1.376,1.583,100.00
hash,5000,4996,0.490,0.314,1.149,1.354,100.00
hash,10000,9988,0.640,0.418,1.556,2.214,100.00
hash,12000,11983,5.261,0.643,25.692,115.506,100.00
hash,13000,12991,3.373,1.490,13.181,39.864,100.00
hash,15000,14789,1613.003,1472.087,3808.855,4054.433,100.00
sort,100,100,1.980,0.932,5.982,6.503,100.00
sort,500,500,0.993,0.537,2.983,3.717,100.00
sort,1000,1000,0.708,0.425,1.792,2.102,100.00
sort,2000,1998,0.546,0.319,1.380,1.595,100.00
sort,5000,4865,1.004,0.344,1.413,15.734,100.00
sort,10000,9992,0.655,0.411,1.559,2.200,100.00
sort,12000,12000,0.991,0.540,2.133,4.725,100.00
sort,13000,12949,9.124,1.208,67.853,152.466,100.00
sort,15000,14887,1344.086,1250.842,2624.404,2812.646,100.00
matmul,100,100,1.947,0.912,5.844,6.423,100.00
matmul,500,500,1.000,0.549,2.986,3.755,100.00
matmul,1000,1000,0.710,0.429,1.795,2.100,100.00
matmul,2000,1999,0.545,0.323,1.378,1.610,100.00
matmul,5000,4994,0.495,0.316,1.158,1.407,100.00
matmul,10000,9998,0.740,0.423,1.574,2.506,100.00
matmul,12000,11998,0.891,0.586,2.299,3.418,100.00
matmul,13000,12982,2.971,1.313,8.332,46.860,100.00
matmul,15000,14724,1598.383,1315.617,3821.801,4188.906,100.00
compress,100,100,2.063,0.984,5.964,6.561,100.00
compress,500,499,0.998,0.552,2.959,3.681,100.00
compress,1000,991,0.728,0.425,1.807,2.257,100.00
compress,2000,1989,0.561,0.319,1.385,1.774,100.00
compress,5000,4990,0.504,0.317,1.157,1.394,100.00
compress,10000,9977,0.668,0.418,1.611,2.440,100.00
compress,12000,11780,4.717,0.957,27.704,76.067,100.00
compress,13000,12843,13.528,3.377,71.114,114.354,100.00
compress,15000,14701,2136.907,1739.705,5293.312,5771.445,100.00
